City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,sao miguel,-5.4667,-35.3667,29.43,79,52,5.72,BR,1707514346
432,karachi,24.9056,67.0822,17.9,77,0,3.09,PK,1707513996
433,katsuura,35.1333,140.3,4.21,93,69,2.46,JP,1707514347
434,port macquarie,-31.4333,152.9167,23.83,80,8,3.51,AU,1707514249
435,foligno,42.944,12.7011,13.59,86,100,4.86,IT,1707514348
436,myskhako,44.6714,37.7433,10.33,90,20,4.69,RU,1707514349
437,tokombere,11.2271,13.4858,20.99,20,21,2.34,NG,1707514349
438,los osos,35.3111,-120.8324,16.41,61,55,1.79,US,1707514207
439,victoria de durango,24.0333,-104.6667,23.79,15,40,8.23,MX,1707514350
440,dunedin,-45.8742,170.5036,16.56,82,86,1.34,NZ,1707514348
441,gantang,26.92,119.6333,5.54,89,19,1.37,CN,1707514351
442,bereznik,62.8551,42.7072,-22.41,100,60,0.91,RU,1707514352
443,aginskoye,51.1,114.53,-16.16,92,64,1.48,RU,1707514352
444,manay,7.215,126.5397,22.83,85,100,3.39,PH,1707514353
445,chamical,-30.36,-66.314,30.12,50,16,5.61,AR,1707514353
446,retreat,38.8245,-85.8533,16.66,62,100,0.89,US,1707514354
447,fairfield,41.2668,-73.3162,11.12,67,0,4.12,US,1707514118
448,kingston,17.997,-76.7936,30.53,61,20,2.57,JM,1707514355
449,san luis,-33.295,-66.3356,24.21,66,9,6.02,AR,1707514355
450,puerto san jose,13.9256,-90.8244,30.7,49,2,4.89,GT,1707514356
451,hasaki,35.7333,140.8333,2.94,69,69,4.05,JP,1707514356
452,gisborne,-38.6533,178.0042,22.45,62,2,2.26,NZ,1707514283
453,nogliki,51.8333,143.1667,-23.14,99,75,2.68,RU,1707514357
454,tocache,-8.1842,-76.5125,29.99,71,83,0.28,PE,1707514357
455,adh dhayd,25.2881,55.8816,18.4,72,0,1.44,AE,1707514358
456,lensk,60.7253,114.9278,-23.54,100,98,1.73,RU,1707514358
457,ebon,4.582,168.6964,28.02,76,100,7.72,MH,1707514359
458,kroya,-7.6331,109.2461,25.26,88,18,0.82,ID,1707514360
459,urzhar,47.093,81.6294,-4.3,78,30,1.82,KZ,1707514360
460,uliastay,47.7417,96.8444,-15.22,67,7,3.51,MN,1707514360
461,grand falls-windsor,48.9332,-55.6649,-9.2,96,65,0.73,CA,1707514361
462,castillos,-34.1667,-53.8333,24.3,81,71,6.3,UY,1707514361
463,daru,-9.0763,143.2092,25.88,85,69,1.99,PG,1707514361
464,brusque,-27.0981,-48.9175,28.77,89,80,1.78,BR,1707514362
465,kertih,4.5141,103.4483,24.01,88,97,0.0,MY,1707514362
466,rawalpindi,33.6007,73.0679,9.57,63,0,1.76,PK,1707514363
467,luderitz,-26.6481,15.1594,19.46,64,82,12.03,NA,1707514200
468,hulyaypole,47.6653,36.2578,5.41,92,100,1.19,UA,1707514364
469,chui,-33.6971,-53.4616,24.7,82,59,5.64,UY,1707514364
470,gorzyce,50.6672,21.8401,4.74,96,100,2.7,PL,1707514364
471,copperas cove,31.1241,-97.9031,22.82,71,75,3.6,US,1707514365
472,fort mcmurray,56.7268,-111.381,-7.23,79,100,1.54,CA,1707514365
473,lesparre-medoc,45.3,-0.9333,11.54,92,100,3.69,FR,1707514366
474,zhangatas,43.5667,69.75,7.27,56,70,9.42,KZ,1707514366
475,okhotsk,59.3833,143.3,-30.97,82,24,3.1,RU,1707514366
476,velikiye luki,56.34,30.5452,-17.15,98,17,0.77,RU,1707514367
477,rongelap,11.1635,166.8941,26.1,76,100,9.88,MH,1707514367
478,vila franca do campo,37.7167,-25.4333,15.23,85,100,2.06,PT,1707514367
479,emerald,-23.5333,148.1667,25.75,73,0,4.8,AU,1707514368
480,homer,59.6425,-151.5483,3.94,72,40,2.06,US,1707514146
481,itaituba,-4.2761,-55.9836,27.09,94,20,1.03,BR,1707514369
482,pangody,65.85,74.4859,-16.02,96,100,5.87,RU,1707514369
483,fengxian,34.7039,116.5872,0.51,72,1,2.43,CN,1707514369
484,toulepleu guere,6.574,-8.4259,25.63,47,17,0.55,CI,1707514370
485,balikpapan,-1.2675,116.8289,24.55,94,20,2.57,ID,1707514370
486,valparaiso,-33.0393,-71.6273,26.13,57,0,5.14,CL,1707514164
487,burela de cabo,43.65,-7.4,11.76,79,100,8.09,ES,1707514371
488,zambezi,-13.5432,23.1047,20.36,82,6,1.86,ZM,1707514371
489,ancud,-41.8697,-73.8203,18.44,63,20,1.71,CL,1707514372
490,tripoli,32.8752,13.1875,17.43,39,78,4.88,LY,1707514372
491,garden city,42.3256,-83.331,17.66,58,75,11.83,US,1707514222
492,prado,-17.3411,-39.2208,23.3,91,59,3.57,BR,1707514264
493,goderich,43.7501,-81.7165,10.18,71,31,5.66,CA,1707514373
494,broken hill,-31.95,141.4333,24.41,27,0,9.05,AU,1707514374
495,doganyol,38.3118,39.0382,5.81,87,99,1.4,TR,1707514374
496,santana,-0.0583,-51.1817,32.1,58,20,6.17,BR,1707514374
497,flying fish cove,-10.4217,105.6791,26.82,89,100,3.6,CX,1707514375
498,sakakah,29.9697,40.2064,18.76,59,72,3.23,SA,1707514088
499,rio grande,-32.035,-52.0986,29.06,83,12,7.56,BR,1707514097
500,khadan khak,30.7477,67.7085,4.05,49,0,0.32,PK,1707514376
501,nadi,-17.8,177.4167,30.0,66,75,1.54,FJ,1707514376
502,acapulco de juarez,16.8634,-99.8901,29.9,54,0,5.66,MX,1707514304
503,mizdah,31.4451,12.9801,13.74,25,40,3.58,LY,1707514377
504,lyuban',52.7985,28.0048,-1.54,86,100,5.87,BY,1707514377
505,saint-paul,-21.0096,55.2707,26.06,80,100,1.9,RE,1707514378
506,duki,30.1541,68.5728,9.78,30,0,1.35,PK,1707514378
